,Date Recorded,Town,Assessed Value,Sale Amount,Residential Type,Longitude,Latitude
884887,06/27/2019,New Milford,142380.0,283000.0,Single Family,-73.42574,41.52224
885211,05/11/2018,Vernon,92630.0,87500.0,Two Family,-72.45737,41.86628
885783,11/20/2017,Vernon,144980.0,75000.0,Single Family,-72.44729,41.86966
889493,10/31/2017,Oxford,185400.0,180000.0,Single Family,-73.14233,41.47727
891359,10/23/2017,Scotland,115510.0,130000.0,Single Family,-72.05956,41.66286
892210,01/03/2019,Danbury,205900.0,299000.0,Condo,-73.42612,41.42207
898550,07/31/2018,Torrington,115890.0,77000.0,Two Family,-73.11805,41.81254
900448,09/21/2018,Newington,75990.0,74500.0,Condo,-72.71758,41.67689
900526,05/02/2019,Cromwell,221130.0,200000.0,Single Family,-72.65138,41.61119
902096,04/09/2018,Southington,219340.0,215000.0,Single Family,-72.89353,41.61416
902768,10/24/2018,Bridgeport,174310.0,320000.0,Single Family,-73.19535,41.21243
